Stasiun,Q1,Q3,IQR,Outlier_IQR,Pct_IQR,Outlier_Zscore,Pct_Zscore
Bd. Suwoto,505.732,505.952,0.22,376,11.99,49,1.56
Krajan Timur,336.298,336.642,0.344,152,4.85,48,1.53
Purwodadi,288.59,289.658,1.067,182,5.81,61,1.95
Bd. Baong,169.602,170.16,0.558,431,13.75,72,2.3
Bd. Lecari,168.821,168.944,0.123,272,8.68,64,2.04
Bd. Bakalan,139.919,140.588,0.669,11,0.35,21,0.67
AWLR Kademungan,129.006,129.44,0.434,367,11.71,66,2.11
Bd. Domas,57.289,57.542,0.253,474,15.12,94,3.0
Bd Guyangan,33.612,33.972,0.36,1,0.03,1,0.03
Bd. Grinting,28.917,29.877,0.96,217,6.92,75,2.39
Sidogiri,25.472,25.972,0.5,40,1.28,28,0.89
Klosod,24.824,25.184,0.359,63,2.01,39,1.24
Dhompo,9.157,10.226,1.069,212,6.76,73,2.33
Jalan Nasional,3.387,4.503,1.116,80,2.55,15,0.48
