,Bd. Suwoto,Krajan Timur,Purwodadi,Bd. Baong,Bd. Lecari,Bd. Bakalan,AWLR Kademungan,Bd. Domas,Bd Guyangan,Bd. Grinting,Sidogiri,Klosod,Dhompo,Jalan Nasional
Bd. Suwoto,1.0,0.8475067089230295,0.9076064518346251,0.3550457158208609,0.8646225602165755,0.5108233547058233,0.44760606189223995,0.6608021863985999,0.8490911877934177,0.8696761539565327,0.8281523888377637,0.8531085435819656,0.8579981085900402,0.8061630647025125
Krajan Timur,0.8475067089230295,1.0,0.9272190310312318,0.33482803704980574,0.9141296658024463,0.4513805394625544,0.4632752973557048,0.6429169104230913,0.8023574047014036,0.8287402012676847,0.7876091690471163,0.7542510560016212,0.7834223844760962,0.7123965587792116
Purwodadi,0.9076064518346251,0.9272190310312318,1.0,0.3895213875791411,0.9556224050966848,0.5115282762318686,0.49228006437606153,0.6834277149363698,0.8357597098082208,0.8672609600531643,0.8354398255108721,0.8113772033372084,0.8274851356333577,0.7550404539988967
Bd. Baong,0.3550457158208609,0.33482803704980574,0.3895213875791411,1.0,0.39189600078931214,0.2567492852827512,0.26144023023637514,0.37910153992323337,0.32272357913969635,0.3759202728388488,0.34301558991215125,0.32427249093211485,0.3584168554158286,0.3039667810790927
Bd. Lecari,0.8646225602165755,0.9141296658024463,0.9556224050966848,0.39189600078931214,1.0,0.577862126834303,0.49971941976945217,0.7055059695183866,0.7650650865557648,0.8419306486002525,0.7840335867882947,0.7272731325175963,0.7759333591595352,0.6585414781100982
Bd. Bakalan,0.5108233547058233,0.4513805394625544,0.5115282762318686,0.2567492852827512,0.577862126834303,1.0,0.29494091114084403,0.5140882521492071,0.3007281213415244,0.4796357588798773,0.43841258969774194,0.3111064524889295,0.44340110662203125,0.2948418138791937
AWLR Kademungan,0.44760606189223995,0.4632752973557048,0.49228006437606153,0.26144023023637514,0.49971941976945217,0.29494091114084403,1.0,0.3886479937054723,0.38855937572056504,0.4838213612043999,0.44133208418540903,0.416434616595345,0.46225368519069354,0.38142997004293305
Bd. Domas,0.6608021863985999,0.6429169104230913,0.6834277149363698,0.37910153992323337,0.7055059695183866,0.5140882521492071,0.3886479937054723,1.0,0.5454688341824635,0.7319570780634862,0.6387745125795813,0.5951062985673788,0.6833389482721922,0.5572364109700063
Bd Guyangan,0.8490911877934177,0.8023574047014036,0.8357597098082208,0.32272357913969635,0.7650650865557648,0.3007281213415244,0.38855937572056504,0.5454688341824635,1.0,0.8498642815105326,0.9008440613590463,0.894824040410067,0.8713472430529521,0.9170317529887079
Bd. Grinting,0.8696761539565327,0.8287402012676847,0.8672609600531643,0.3759202728388488,0.8419306486002525,0.4796357588798773,0.4838213612043999,0.7319570780634862,0.8498642815105326,1.0,0.9045514488214597,0.8852246878903831,0.9535204843168757,0.881498076480168
Sidogiri,0.8281523888377637,0.7876091690471163,0.8354398255108721,0.34301558991215125,0.7840335867882947,0.43841258969774194,0.44133208418540903,0.6387745125795813,0.9008440613590463,0.9045514488214597,1.0,0.9434476780680271,0.9410373270448116,0.9456734922930299
Klosod,0.8531085435819656,0.7542510560016212,0.8113772033372084,0.32427249093211485,0.7272731325175963,0.3111064524889295,0.416434616595345,0.5951062985673788,0.894824040410067,0.8852246878903831,0.9434476780680271,1.0,0.9364542610311507,0.956492777993291
Dhompo,0.8579981085900402,0.7834223844760962,0.8274851356333577,0.3584168554158286,0.7759333591595352,0.44340110662203125,0.46225368519069354,0.6833389482721922,0.8713472430529521,0.9535204843168757,0.9410373270448116,0.9364542610311507,1.0,0.9482035672977325
Jalan Nasional,0.8061630647025125,0.7123965587792116,0.7550404539988967,0.3039667810790927,0.6585414781100982,0.2948418138791937,0.38142997004293305,0.5572364109700063,0.9170317529887079,0.881498076480168,0.9456734922930299,0.956492777993291,0.9482035672977325,1.0
