,lag_0min,lag_30min,lag_60min,lag_90min,lag_120min,lag_150min,lag_180min,lag_210min,lag_240min,lag_270min,lag_300min,lag_330min,lag_360min
Bd. Suwoto,0.8579981085900906,0.8854056581195519,0.907637591075993,0.9220223365671931,0.9273273994611126,0.9229889604350098,0.9094021487280081,0.8879489942249107,0.85905273278121,0.8245934986732062,0.786188985439594,0.7449167166598465,0.7020652803226493
Krajan Timur,0.7834223844761127,0.8140030099811237,0.8461985639691153,0.8710261102941912,0.8874183057650011,0.8946187550652165,0.8930999399759,0.8831846494772176,0.8657713427624542,0.8407063691636947,0.810058355920783,0.7772435705893234,0.7397999562373329
Purwodadi,0.8274851356333646,0.8629687329238471,0.8958854723719214,0.9242663950380543,0.9455381448180504,0.9568828115555824,0.9574493794778853,0.9475058803796923,0.9271177791430131,0.899188031807559,0.865761159541038,0.8291565608834816,0.7881366062583464
Bd. Lecari,0.7759333591595038,0.8218225434600042,0.8625594459041405,0.8970095899477865,0.923959468014321,0.9405541955175218,0.947205861385157,0.9437635608808004,0.930352902592185,0.9080876353780309,0.8791283885948403,0.8460242026457735,0.8090897065858331
Bd. Bakalan,0.4434011066220131,0.4761326003351833,0.5055386884555331,0.5306905278468003,0.5498274437777394,0.5604284155848348,0.5612334292556096,0.5529311499122802,0.5376542222212599,0.5180137442870589,0.49676645077642984,0.47362709671670844,0.44904093751236557
Bd. Baong,0.3584168554158349,0.37251044874299716,0.38514760896648687,0.3890146196831831,0.39416783814393475,0.3941971510063735,0.3928097247459968,0.3825081247325538,0.3699016288261521,0.3509498584436557,0.3456415199051348,0.3240666695218951,0.3005561311387956
AWLR Kademungan,0.4622536851907064,0.47704097468286205,0.4880408839881482,0.4908034741817004,0.5114441239871921,0.5028584138702953,0.4902897377273248,0.4808427379461778,0.47147960136035205,0.44758646050327755,0.4344085942204678,0.4091696674220523,0.3950136410592958
Bd Guyangan,0.8713472430529434,0.8721202820453704,0.8711889898792291,0.8657184178043098,0.8541701974042498,0.837668637560694,0.8177549540795148,0.7943752907163261,0.7671735848055694,0.7369304366414102,0.7040819151503455,0.671775310446945,0.6383536008859245
Sidogiri,0.9410373270448069,0.9395398148632964,0.931834332362067,0.9195198913843463,0.9036875108160126,0.8840880844398378,0.861149514502957,0.8348967370216661,0.8052302066347959,0.7723616210374975,0.73751221788623,0.7022546225148228,0.6666531131609417
Bd. Domas,0.6833389482721907,0.7139896304985298,0.7463023078042256,0.7488442033485176,0.7394368134506908,0.7305256386501737,0.7131150896669164,0.6895780698319319,0.6632249429170252,0.6285656826096643,0.6008261033501532,0.5683219645059666,0.5355055082597584
Klosod,0.9364542610311496,0.9293929245549842,0.9164937272143997,0.8984350780597982,0.8757845484749001,0.8486474901624874,0.8181815338665038,0.7852795369574076,0.7503013316257623,0.7135043860673952,0.6761000623978666,0.6387258599024732,0.6011637790345628
Bd. Grinting,0.9535204843168756,0.9836432746897734,0.9719900183424769,0.9587726738925122,0.9404262323873464,0.9154528819234661,0.8853073207664218,0.8501573350814668,0.8105627313201549,0.7713600910653229,0.7304334957299276,0.6888239886274746,0.6487327959985987
