Datetime,Bd. Suwoto,Bd. Baong,AWLR Kademungan,Bd. Domas,Klosod,Dhompo
0,505.93656923076924,170.4927076923077,129.59026923076922,57.68711538461538,25.062853846153846,10.078415384615385
1,505.9234076923077,170.38968461538462,129.53456923076922,57.685515384615385,25.05273846153846,10.001176923076923
2,505.9114230769231,170.21002307692308,129.36891538461538,57.64881538461539,25.0414,9.956584615384616
3,505.9018615384615,170.1191,129.33293846153845,57.50602307692308,25.030638461538462,9.884669230769232
4,505.88871538461535,170.08953846153847,129.35683076923075,57.503038461538466,25.019984615384615,9.837146153846154
5,505.8821153846154,170.03104615384615,129.35585384615385,57.48435384615385,25.011123076923077,9.762284615384615
6,505.8666923076923,170.1598846153846,129.3556076923077,57.51390769230769,25.00196153846154,9.728861538461539
7,505.8527384615385,170.06076153846155,129.21083846153846,57.499684615384616,24.994023076923078,9.684261538461538
8,505.8067727272728,170.03269696969696,129.3428181818182,57.44259090909091,24.96202272727273,9.624333333333334
9,505.795696969697,170.13745454545455,129.2022878787879,57.43309090909091,24.966977272727274,9.593030303030304
10,505.7892727272727,170.18789393939394,129.23488636363638,57.41999242424242,24.962469696969695,9.557742424242425
11,505.78289393939394,170.28978787878788,129.23709848484847,57.388689393939394,24.95855303030303,9.53575
12,505.796696969697,170.0031590909091,129.20058333333333,57.41518181818182,24.95573484848485,9.51744696969697
13,505.8305075757575,170.2351666666667,129.3295,57.47710606060606,24.959977272727272,9.514704545454546
14,505.87560606060606,170.50748484848486,129.60491666666667,57.559939393939395,24.967560606060605,9.54214393939394
15,505.92425190839697,170.33195419847328,129.50348091603053,57.67229770992366,24.984511450381678,9.640908396946566
16,505.97473846153844,170.57414615384616,129.64357692307692,57.82993846153846,25.001176923076923,9.775546153846154
17,506.00303076923075,170.48393076923077,129.73482307692308,57.8864,25.0211,9.917669230769231
18,506.0144461538461,170.67564615384615,129.9341769230769,57.95036153846154,25.048792307692306,10.094192307692307
19,506.0099076923077,170.54752307692308,129.78543076923077,57.913561538461536,25.063992307692306,10.17553846153846
20,505.99686923076916,170.4143692307692,129.6037076923077,58.03484615384615,25.074992307692305,10.237723076923077
21,505.98136153846156,170.61717692307693,129.87141538461537,57.93093846153846,25.079446153846153,10.250153846153847
22,505.96424615384615,170.42025384615383,129.45015384615385,57.8023,25.082584615384615,10.191407692307692
23,505.9491,170.82735384615384,129.70177692307692,57.830615384615385,25.073623076923077,10.15013076923077
